id,nome,ingredientes,modo_preparo,tempo_preparo,dificuldade,categoria,deleted
20,Frango Especial,"manjericão, ovos, carne moída, pimenta do reino, fermento em pó, frango desfiado, creme de leite, leite condensado",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Despeje a massa em uma forma untada e enfarinhada. Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro. Refogue o alho e a cebola no azeite até dourarem.,91,Média,Lanche,False
21,Peixe de Chocolate,"leite, tomate, cebola, frango desfiado, manjericão, creme de leite, manteiga, leite condensado, alho, açúcar",Despeje a massa em uma forma untada e enfarinhada. Adicione o leite e a manteiga derretida à mistura. Sirva quente com acompanhamento de sua preferência.,112,Fácil,Sobremesa,False
22,Feijoada da Vovó,"tomate, azeite, fermento em pó, manjericão, creme de leite, sal, arroz, manteiga, feijão",Adicione o leite e a manteiga derretida à mistura. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,16,Média,Entrada,False
23,Bolo de Chocolate,"manjericão, carne moída, leite, manteiga, arroz, farinha de trigo, feijão, tomate",Sirva quente com acompanhamento de sua preferência. Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Misture todos os ingredientes secos em uma tigela grande. Adicione o leite e a manteiga derretida à mistura.,43,Difícil,Prato Principal,False
24,Salada Especial,"chocolate em pó, ovos, leite, açúcar, farinha de trigo, creme de leite, frango desfiado, pimenta do reino, cebola, arroz",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Refogue o alho e a cebola no azeite até dourarem. Deixe esfriar antes de desenformar e finalizar com o recheio.,105,Fácil,Sobremesa,False
25,Frango Simples,"frango desfiado, creme de leite, manteiga, leite, sal, fermento em pó, alho, farinha de trigo, feijão",Deixe esfriar antes de desenformar e finalizar com o recheio. Incorpore a farinha aos poucos e misture bem. Bata os ovos com o açúcar até formar um creme claro.,58,Média,Prato Principal,False
26,Escondidinho Rápida,"queijo muçarela, chocolate em pó, açúcar, leite condensado, manjericão, farinha de trigo, batata, carne moída",Sirva quente com acompanhamento de sua preferência. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura.,65,Difícil,Sobremesa,False
27,Escondidinho com Cobertura,"batata, leite, ovos, creme de leite, carne moída, manteiga, sal, queijo muçarela, tomate, fermento em pó",Bata os ovos com o açúcar até formar um creme claro. Sirva quente com acompanhamento de sua preferência. Deixe esfriar antes de desenformar e finalizar com o recheio. Incorpore a farinha aos poucos e misture bem.,60,Difícil,Entrada,False
28,Sopa na Manteiga,"frango desfiado, feijão, cebola, manteiga, arroz, carne moída, pimenta do reino",Sirva quente com acompanhamento de sua preferência. Misture todos os ingredientes secos em uma tigela grande. Leve ao forno pré-aquecido a 180°C por 30 minutos.,68,Média,Sobremesa,False
29,Salada da Vovó,"ovos, creme de leite, feijão, leite condensado, azeite, pimenta do reino, tomate, cebola, carne moída",Misture todos os ingredientes secos em uma tigela grande. Despeje a massa em uma forma untada e enfarinhada. Sirva quente com acompanhamento de sua preferência. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Incorpore a farinha aos poucos e misture bem.,28,Difícil,Lanche,False
30,Pudim Cremoso,"fermento em pó, cebola, frango desfiado, creme de leite, azeite, leite condensado, chocolate em pó, tomate",Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura. Leve ao forno pré-aquecido a 180°C por 30 minutos. Sirva quente com acompanhamento de sua preferência.,90,Média,Entrada,False
31,Salada de Chocolate,"feijão, cebola, fermento em pó, arroz, ovos, leite, creme de leite",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Adicione o leite e a manteiga derretida à mistura. Refogue o alho e a cebola no azeite até dourarem. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio.,26,Fácil,Entrada,False
32,Bolo Cremoso,"queijo muçarela, frango desfiado, alho, leite condensado, manjericão",Incorpore a farinha aos poucos e misture bem. Sirva quente com acompanhamento de sua preferência. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,85,Fácil,Entrada,False
33,Torta da Vovó,"cebola, alho, creme de leite, feijão, tomate",Adicione o leite e a manteiga derretida à mistura. Refogue o alho e a cebola no azeite até dourarem. Bata os ovos com o açúcar até formar um creme claro. Misture todos os ingredientes secos em uma tigela grande.,116,Média,Entrada,False
34,Peixe Especial,"frango desfiado, ovos, creme de leite, feijão, leite, pimenta do reino, sal, queijo muçarela, batata",Deixe esfriar antes de desenformar e finalizar com o recheio. Leve ao forno pré-aquecido a 180°C por 30 minutos. Despeje a massa em uma forma untada e enfarinhada. Sirva quente com acompanhamento de sua preferência.,110,Difícil,Prato Principal,False
35,Feijoada Rápida,"arroz, ovos, manteiga, fermento em pó, leite condensado, feijão, alho, queijo muçarela",Refogue o alho e a cebola no azeite até dourarem. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Leve ao forno pré-aquecido a 180°C por 30 minutos. Misture todos os ingredientes secos em uma tigela grande. Deixe esfriar antes de desenformar e finalizar com o recheio.,13,Fácil,Entrada,False
36,Escondidinho com Cobertura,"sal, creme de leite, queijo muçarela, leite, açúcar, manteiga, cebola, pimenta do reino, arroz",Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Adicione o leite e a manteiga derretida à mistura.,117,Média,Sobremesa,False
37,Escondidinho Rápida,"farinha de trigo, açúcar, creme de leite, tomate, pimenta do reino, sal, leite condensado, carne moída, cebola",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Despeje a massa em uma forma untada e enfarinhada.,67,Difícil,Entrada,False
38,Pudim de Chocolate,"azeite, sal, pimenta do reino, carne moída, arroz, creme de leite",Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro. Incorpore a farinha aos poucos e misture bem. Sirva quente com acompanhamento de sua preferência.,51,Difícil,Lanche,False
39,Pudim Simples,"sal, azeite, farinha de trigo, batata, manjericão, carne moída, feijão, creme de leite, chocolate em pó",Bata os ovos com o açúcar até formar um creme claro. Refogue o alho e a cebola no azeite até dourarem. Deixe esfriar antes de desenformar e finalizar com o recheio.,71,Fácil,Sobremesa,False
40,Mousse de Chocolate,"farinha de trigo, açúcar, leite, arroz, fermento em pó, manjericão, ovos, manteiga, leite condensado, batata",Misture todos os ingredientes secos em uma tigela grande. Adicione o leite e a manteiga derretida à mistura. Bata os ovos com o açúcar até formar um creme claro. Despeje a massa em uma forma untada e enfarinhada.,17,Média,Sobremesa,False
41,Bolo Simples,"frango desfiado, tomate, leite, manteiga, açúcar, arroz, cebola",Leve ao forno pré-aquecido a 180°C por 30 minutos. Deixe esfriar antes de desenformar e finalizar com o recheio. Misture todos os ingredientes secos em uma tigela grande. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,118,Fácil,Sobremesa,False
42,Torta Especial,"fermento em pó, tomate, carne moída, manteiga, queijo muçarela, feijão, leite, batata",Bata os ovos com o açúcar até formar um creme claro. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Incorpore a farinha aos poucos e misture bem.,95,Difícil,Entrada,False
43,Escondidinho Cremoso,"creme de leite, leite, fermento em pó, frango desfiado, alho, tomate, feijão",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Adicione o leite e a manteiga derretida à mistura. Sirva quente com acompanhamento de sua preferência.,78,Média,Sobremesa,False
44,Frango de Chocolate,"manteiga, pimenta do reino, batata, tomate, sal, azeite, manjericão",Incorpore a farinha aos poucos e misture bem. Bata os ovos com o açúcar até formar um creme claro. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,41,Média,Lanche,False
45,Mousse de Chocolate,"carne moída, queijo muçarela, batata, leite condensado, açúcar, sal, frango desfiado",Refogue o alho e a cebola no azeite até dourarem. Bata os ovos com o açúcar até formar um creme claro. Deixe esfriar antes de desenformar e finalizar com o recheio. Misture todos os ingredientes secos em uma tigela grande.,104,Difícil,Sobremesa,False
46,Salada Rápida,"carne moída, feijão, azeite, sal, pimenta do reino",Despeje a massa em uma forma untada e enfarinhada. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura.,74,Fácil,Sobremesa,False
47,Feijoada Especial,"pimenta do reino, alho, azeite, leite, fermento em pó, feijão, cebola",Sirva quente com acompanhamento de sua preferência. Leve ao forno pré-aquecido a 180°C por 30 minutos. Refogue o alho e a cebola no azeite até dourarem. Incorpore a farinha aos poucos e misture bem.,18,Fácil,Prato Principal,False
48,Frango na Manteiga,"arroz, frango desfiado, fermento em pó, cebola, batata, sal, pimenta do reino, queijo muçarela",Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Despeje a massa em uma forma untada e enfarinhada. Refogue o alho e a cebola no azeite até dourarem. Adicione o leite e a manteiga derretida à mistura.,11,Média,Sobremesa,False
49,Sopa Simples,"queijo muçarela, açúcar, manjericão, azeite, batata, alho, fermento em pó",Despeje a massa em uma forma untada e enfarinhada. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Misture todos os ingredientes secos em uma tigela grande.,98,Difícil,Sobremesa,False
50,Torta Especial,"azeite, frango desfiado, açúcar, alho, cebola, ovos, pimenta do reino, sal, arroz",Despeje a massa em uma forma untada e enfarinhada. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Incorpore a farinha aos poucos e misture bem. Misture todos os ingredientes secos em uma tigela grande.,23,Média,Lanche,False
51,Pudim Simples,"carne moída, ovos, tomate, manteiga, creme de leite, leite, queijo muçarela",Despeje a massa em uma forma untada e enfarinhada. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura. Leve ao forno pré-aquecido a 180°C por 30 minutos.,37,Média,Prato Principal,False
52,Salada Simples,"creme de leite, pimenta do reino, batata, fermento em pó, cebola, alho, chocolate em pó, leite",Deixe esfriar antes de desenformar e finalizar com o recheio. Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem. Leve ao forno pré-aquecido a 180°C por 30 minutos.,88,Média,Sobremesa,False
53,Mousse com Cobertura,"azeite, tomate, fermento em pó, batata, chocolate em pó, leite condensado, pimenta do reino, feijão, açúcar",Incorpore a farinha aos poucos e misture bem. Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos. Sirva quente com acompanhamento de sua preferência.,72,Fácil,Entrada,False
54,Torta da Vovó,"chocolate em pó, fermento em pó, feijão, azeite, queijo muçarela, tomate",Adicione o leite e a manteiga derretida à mistura. Misture todos os ingredientes secos em uma tigela grande. Deixe esfriar antes de desenformar e finalizar com o recheio. Incorpore a farinha aos poucos e misture bem. Bata os ovos com o açúcar até formar um creme claro.,25,Fácil,Lanche,False
55,Pudim Especial,"ovos, pimenta do reino, sal, açúcar, fermento em pó",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Bata os ovos com o açúcar até formar um creme claro. Incorpore a farinha aos poucos e misture bem.,54,Média,Prato Principal,False
56,Mousse Cremoso,"arroz, cebola, leite condensado, batata, manteiga, queijo muçarela, pimenta do reino, fermento em pó, creme de leite, manjericão",Bata os ovos com o açúcar até formar um creme claro. Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem.,51,Difícil,Prato Principal,False
57,Feijoada com Cobertura,"sal, açúcar, manteiga, feijão, batata, azeite, creme de leite, carne moída",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Sirva quente com acompanhamento de sua preferência.,45,Fácil,Sobremesa,False
58,Escondidinho de Chocolate,"arroz, manjericão, tomate, cebola, chocolate em pó, manteiga, azeite, leite",Despeje a massa em uma forma untada e enfarinhada. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Sirva quente com acompanhamento de sua preferência. Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos.,50,Fácil,Sobremesa,False
59,Bolo Especial,"creme de leite, farinha de trigo, cebola, carne moída, manjericão, feijão, leite, sal",Sirva quente com acompanhamento de sua preferência. Deixe esfriar antes de desenformar e finalizar com o recheio. Leve ao forno pré-aquecido a 180°C por 30 minutos. Despeje a massa em uma forma untada e enfarinhada. Refogue o alho e a cebola no azeite até dourarem.,11,Difícil,Sobremesa,False
60,Frango de Chocolate,"leite condensado, manjericão, alho, pimenta do reino, azeite, creme de leite, sal, fermento em pó",Incorpore a farinha aos poucos e misture bem. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Adicione o leite e a manteiga derretida à mistura. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro.,60,Média,Sobremesa,False
61,Escondidinho da Vovó,"creme de leite, carne moída, ovos, chocolate em pó, alho, açúcar, azeite, cebola, tomate, arroz",Sirva quente com acompanhamento de sua preferência. Adicione o leite e a manteiga derretida à mistura. Refogue o alho e a cebola no azeite até dourarem.,92,Fácil,Prato Principal,False
62,Torta de Chocolate,"feijão, tomate, frango desfiado, arroz, manteiga, azeite, cebola, carne moída, creme de leite",Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos. Misture todos os ingredientes secos em uma tigela grande. Incorpore a farinha aos poucos e misture bem.,83,Média,Lanche,False
63,Feijoada com Cobertura,"pimenta do reino, arroz, chocolate em pó, feijão, leite condensado, frango desfiado, ovos, azeite, açúcar, creme de leite",Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura.,90,Média,Sobremesa,False
64,Sopa Simples,"creme de leite, carne moída, alho, leite, chocolate em pó, frango desfiado, azeite, manjericão, farinha de trigo, queijo muçarela",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Bata os ovos com o açúcar até formar um creme claro. Despeje a massa em uma forma untada e enfarinhada.,67,Fácil,Entrada,False
65,Sopa com Cobertura,"fermento em pó, arroz, manjericão, feijão, ovos, açúcar, carne moída",Misture todos os ingredientes secos em uma tigela grande. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro.,103,Difícil,Entrada,False
66,Feijoada Especial,"carne moída, batata, alho, feijão, fermento em pó, sal, queijo muçarela, azeite, manjericão, ovos",Adicione o leite e a manteiga derretida à mistura. Leve ao forno pré-aquecido a 180°C por 30 minutos. Bata os ovos com o açúcar até formar um creme claro. Deixe esfriar antes de desenformar e finalizar com o recheio. Misture todos os ingredientes secos em uma tigela grande.,29,Média,Sobremesa,False
67,Mousse Cremoso,"queijo muçarela, manteiga, farinha de trigo, carne moída, sal, cebola, manjericão",Misture todos os ingredientes secos em uma tigela grande. Adicione o leite e a manteiga derretida à mistura. Incorpore a farinha aos poucos e misture bem. Despeje a massa em uma forma untada e enfarinhada. Refogue o alho e a cebola no azeite até dourarem.,44,Média,Lanche,False
68,Escondidinho Rápida,"manjericão, feijão, fermento em pó, leite condensado, pimenta do reino, carne moída",Adicione o leite e a manteiga derretida à mistura. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio.,38,Difícil,Lanche,False
69,Escondidinho na Manteiga,"farinha de trigo, feijão, tomate, pimenta do reino, fermento em pó",Despeje a massa em uma forma untada e enfarinhada. Sirva quente com acompanhamento de sua preferência. Misture todos os ingredientes secos em uma tigela grande. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,105,Fácil,Prato Principal,False
70,Bolo na Manteiga,"feijão, frango desfiado, cebola, manteiga, arroz, farinha de trigo, açúcar, tomate, chocolate em pó",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Sirva quente com acompanhamento de sua preferência. Refogue o alho e a cebola no azeite até dourarem. Incorpore a farinha aos poucos e misture bem.,96,Difícil,Entrada,False
71,Sopa de Chocolate,"chocolate em pó, farinha de trigo, batata, queijo muçarela, alho, manteiga",Misture todos os ingredientes secos em uma tigela grande. Bata os ovos com o açúcar até formar um creme claro. Incorpore a farinha aos poucos e misture bem.,115,Difícil,Entrada,False
72,Escondidinho com Cobertura,"fermento em pó, manteiga, pimenta do reino, farinha de trigo, açúcar, creme de leite, frango desfiado, alho, sal",Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura. Leve ao forno pré-aquecido a 180°C por 30 minutos. Misture todos os ingredientes secos em uma tigela grande.,79,Difícil,Entrada,False
73,Feijoada na Manteiga,"tomate, queijo muçarela, batata, farinha de trigo, pimenta do reino",Leve ao forno pré-aquecido a 180°C por 30 minutos. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,63,Fácil,Sobremesa,False
74,Torta de Chocolate,"manjericão, ovos, leite, carne moída, queijo muçarela, manteiga, batata, arroz, cebola",Despeje a massa em uma forma untada e enfarinhada. Adicione o leite e a manteiga derretida à mistura. Sirva quente com acompanhamento de sua preferência. Refogue o alho e a cebola no azeite até dourarem. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,30,Difícil,Prato Principal,False
75,Salada Rápida,"chocolate em pó, farinha de trigo, manjericão, fermento em pó, creme de leite, ovos, tomate, açúcar",Misture todos os ingredientes secos em uma tigela grande. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Sirva quente com acompanhamento de sua preferência. Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro.,20,Fácil,Sobremesa,False
76,Frango Cremoso,"batata, frango desfiado, creme de leite, pimenta do reino, chocolate em pó, alho, azeite",Incorpore a farinha aos poucos e misture bem. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro.,96,Difícil,Entrada,False
77,Bolo Cremoso,"cebola, ovos, queijo muçarela, creme de leite, arroz, batata, frango desfiado, farinha de trigo, azeite",Deixe esfriar antes de desenformar e finalizar com o recheio. Misture todos os ingredientes secos em uma tigela grande. Adicione o leite e a manteiga derretida à mistura. Incorpore a farinha aos poucos e misture bem.,43,Fácil,Lanche,False
78,Torta Rápida,"creme de leite, carne moída, fermento em pó, queijo muçarela, alho",Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem. Misture todos os ingredientes secos em uma tigela grande. Leve ao forno pré-aquecido a 180°C por 30 minutos. Sirva quente com acompanhamento de sua preferência.,112,Fácil,Prato Principal,False
79,Frango Especial,"chocolate em pó, pimenta do reino, farinha de trigo, arroz, leite, leite condensado, sal",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Adicione o leite e a manteiga derretida à mistura. Despeje a massa em uma forma untada e enfarinhada. Leve ao forno pré-aquecido a 180°C por 30 minutos. Bata os ovos com o açúcar até formar um creme claro.,55,Fácil,Prato Principal,False
80,Feijoada na Manteiga,"ovos, leite, leite condensado, fermento em pó, carne moída",Misture todos os ingredientes secos em uma tigela grande. Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro.,11,Fácil,Lanche,False
81,Frango Especial,"farinha de trigo, creme de leite, açúcar, arroz, manteiga, azeite, queijo muçarela, tomate, batata, fermento em pó",Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio.,74,Média,Prato Principal,False
82,Frango Rápida,"chocolate em pó, alho, leite, frango desfiado, feijão, sal, manteiga, carne moída",Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem. Misture todos os ingredientes secos em uma tigela grande.,35,Fácil,Prato Principal,False
83,Salada Simples,"fermento em pó, carne moída, tomate, manjericão, alho, batata, feijão, farinha de trigo, creme de leite",Incorpore a farinha aos poucos e misture bem. Bata os ovos com o açúcar até formar um creme claro. Adicione o leite e a manteiga derretida à mistura.,85,Média,Lanche,False
84,Mousse Especial,"feijão, creme de leite, chocolate em pó, leite, açúcar, carne moída, pimenta do reino, tomate",Misture todos os ingredientes secos em uma tigela grande. Incorpore a farinha aos poucos e misture bem. Refogue o alho e a cebola no azeite até dourarem. Sirva quente com acompanhamento de sua preferência.,35,Média,Sobremesa,False
85,Frango de Chocolate,"frango desfiado, fermento em pó, arroz, creme de leite, carne moída",Refogue o alho e a cebola no azeite até dourarem. Misture todos os ingredientes secos em uma tigela grande. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro.,70,Difícil,Prato Principal,False
86,Mousse com Cobertura,"farinha de trigo, tomate, fermento em pó, frango desfiado, manteiga, leite, arroz, queijo muçarela",Despeje a massa em uma forma untada e enfarinhada. Sirva quente com acompanhamento de sua preferência. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Refogue o alho e a cebola no azeite até dourarem.,27,Difícil,Entrada,False
